Id,Sentence,Category
0,play something from 1971 by john bonham,PlayMusic
1,i d like to give a two rating to the abolition of britain,RateBook
2,where can i locate the show the return of mr moto,SearchCreativeWork
3,is there a game called the neutral zone,SearchCreativeWork
4,give this textbook zero out of 6 points,RateBook
5,add i roy to my this is rosana playlist,AddToPlaylist
6,play turbulence wild streetdanz from jeff buckley,PlayMusic
7,i d like to see the picture teleform,SearchCreativeWork
8,is it going to be warm today at saint martin in port orford,GetWeather
9,book for crepes at a restaurant in sint maarten,BookRestaurant
10,will it get chillier within walking distance of pw,GetWeather
11,add opus de funk to my list acoustic blues,AddToPlaylist
12,does red e toby nemiciamici start thirteen hours from now,SearchScreeningEvent
13,play any song from 2006,PlayMusic
14,find attack surface analyzer a painting,SearchCreativeWork
15,please rate the current textbook with 5 stars out o 6,RateBook
16,is it humid in parc national de killarney,GetWeather
17,add tunnel of love to ethel s metal crash course palylist,AddToPlaylist
18,find the schedule for for films at star theatres,SearchScreeningEvent
19,play some music by mark heard,PlayMusic
20,play adrian borland s music on zvooq,PlayMusic
21,what s the weather forecast ten years from now in mount victory macao,GetWeather
22,give zero / 6 stars to the current album,RateBook
23,play music on last fm,PlayMusic
24,movie times at consolidated theatres,SearchScreeningEvent
25,show the immortal grand prix,SearchCreativeWork
26,let s play the album handover on deezer,PlayMusic
27,play playlist funtime,PlayMusic
28,rate hunting and gathering a two,RateBook
29,is it cloudy in georgia,GetWeather
30,has the tv series puppet master: axis of evil been cancelled,SearchCreativeWork
31,please provide the rainbow mars series a zero out of 6 points,RateBook
32,find the dead matter at speakeasy theaters,SearchScreeningEvent
33,add live from aragon ballroom to trapeo,AddToPlaylist
34,what s the weather forecast at sixteen in oklahoma,GetWeather
35,rate this novel three out of 6 stars,RateBook
36,i need a time of 21 minutes from now for here,GetWeather
37,book the union oyster house in guanica puerto rico,BookRestaurant
38,book a spot for my colleague and i at a pizzeria with a pool in owings mills wisconsin,BookRestaurant
39,book a table in greece for 4,BookRestaurant
40,when is the third eye showing at dickinson theatres,SearchScreeningEvent
41,what s the weather going to be like near moldova on fri,GetWeather
42,add the tune to my epic classical playlist,AddToPlaylist
43,i need to book a restaurant in fork mountain sc for valarie mari and i,BookRestaurant
44,play a movement from 1974,PlayMusic
45,i want to hear opera on netflix,PlayMusic
46,book a reservation for seven people at a highly rated restaurant that serves moroccan food in east greenville,BookRestaurant
47,is it going to be windy faraway from the valley of fire,GetWeather
48,add megon mcdonough indie songs for slackers to my playlist artist,AddToPlaylist
49,i d like to go to douglas theatre company to see in beaver valley what times will the movie be playing,SearchScreeningEvent
50,whats the temperature not far from valley of fire,GetWeather
51,show the day the earth caught fire movie,SearchCreativeWork
52,play music from the seventies,PlayMusic
53,can i hear the song american high,SearchCreativeWork
54,book a spot for ten in upper marlboro pr,BookRestaurant
55,play music from 1976 on deezer,PlayMusic
56,what will it feel like in the current place in july,GetWeather
57,rate voyage in the dark 3 of 6,RateBook
58,can you play a song from the newest movement by prince on lastfm,PlayMusic
59,play music from jeremy taylor on the album dormi amore la situazione non è buona on groove shark,PlayMusic
60,play new music from liang wern fook,PlayMusic
61,marcia carolus rex should get added to my women of sxsw playlist,AddToPlaylist
62,reserve a smoking room at the restaurant,BookRestaurant
63,what will the weather be like not far from alabama on may 9 2037,GetWeather
64,which movie theatre with clean and sober is closest to me,SearchScreeningEvent
65,contemporary religious satanism gets a 3 rating,RateBook
66,give me a list of films that play in the neighbourhood,SearchScreeningEvent
67,find the saga a very school gyrls holla-day,SearchCreativeWork
68,at ten am what will the weather be like nearby in cyprus,GetWeather
69,rate the current novel 5 of 6 points,RateBook
70,add the tune to the indie workout playlist,AddToPlaylist
71,show me the forecast for 6 years from now in westlake village in guinea,GetWeather
72,book a restaurant for ten in exmore at sunset,BookRestaurant
73,play me something by funtwo,PlayMusic
74,i want to add kiara to my digster future hits playlist,AddToPlaylist
75,play kaori mochida s most popular music on google music,PlayMusic
76,will it be rainy faraway in charleston lake provincial park in 13 hours,GetWeather
77,add hanging on to my just dance by aftercluv playlist,AddToPlaylist
78,play wanted by erykah badu,PlayMusic
79,play a song from my workout playlist on groove shark,PlayMusic
80,check the forecast for orson for around 9 pm,GetWeather
81,book a reservation for a gastropub serving liver and onions,BookRestaurant
82,add my belgian rose to my evening list,AddToPlaylist
83,include the past behind in my top 100 rock tracks on spotify playlist,AddToPlaylist
84,i d like to hear helen baylor,PlayMusic
85,weather at bystrzyca valley landscape park,GetWeather
86,book a restaurant in macedonia for 13 hours from now,BookRestaurant
87,find the news at seven-thirty photograph,SearchCreativeWork
88,give me showtimes for the tenth woman at the movie house,SearchScreeningEvent
89,tell me the weather for next week at cathedral state park,GetWeather
90,find animated movies movie schedule in the neighborhood,SearchScreeningEvent
91,please search cardin in australia saga,SearchCreativeWork
92,need to book a restaurnt for a party of nine on thomas jefferson s birthday,BookRestaurant
93,will it be chilly at boggs mountain demonstration state forest,GetWeather
94,the forest should be rated a four,RateBook
95,find a table at a restaurant in bynum ca at 09:59 pm,BookRestaurant
96,find movie schedules for star theatres,SearchScreeningEvent
97,my timeless love songs playlist should include viderunt omnes,AddToPlaylist
98,play the latest thelma aoyama,PlayMusic
99,i d like to watch the trailer for as tears go by,SearchCreativeWork
100,i want to add this so chan whee tune to latin alternative music,AddToPlaylist
101,add hemanta kumar mukhopadhyay album in funky jams,AddToPlaylist
102,tell me the weather forecast for niue,GetWeather
103,what is the october 19th forecast for iran,GetWeather
104,find a painting called thunder in the sky,SearchCreativeWork
105,put this track on my infinite indie folk playlist,AddToPlaylist
106,is snowfall forecast in pa,GetWeather
107,play some nineties eliza carthy,PlayMusic
108,play some krzysztof penderecki on last fm,PlayMusic
109,find saison 7 de sons of anarchy,SearchCreativeWork
110,add album to my fairy tales,AddToPlaylist
111,give me the morning movie schedules,SearchScreeningEvent
112,show me the show goldimouse and the three cats,SearchCreativeWork
113,what is the movie schedule near me,SearchScreeningEvent
114,incorporate a roberto parra sandoval track into the cena elegante playlist,AddToPlaylist
115,what animated movies are showing in the neighborhood,SearchScreeningEvent
116,give star trek: the motion picture a five out of 6,RateBook
117,play some music from 1958 on deezer,PlayMusic
118,weather for turtle river state park,GetWeather
119,play a tune or two from kansas city missouri,PlayMusic
120,what s the weather in waretown lebanon,GetWeather
121,book a restaurant for three people in jenkins,BookRestaurant
122,search for the game the last horror movie,SearchCreativeWork
123,add the album to rosanna s ejercicio playlist,AddToPlaylist
124,play the sound track by ferry corsten,PlayMusic
125,i want to give elephants can remember 4 out of 6 points,RateBook
126,play a sixties track by noam pikelny on iheart,PlayMusic
127,play crucifixion on deezer,PlayMusic
128,wish to hear a concerto by diplo from 1952,PlayMusic
129,what is the nine am weather forecast for nationalpark midongy du sud,GetWeather
130,what will the weather be like 56 weeks from now will there be sun in tabor,GetWeather
131,find the video game the tomb,SearchCreativeWork
132,i d like to get a restaurant booked on mar fourteenth in md,BookRestaurant
133,is terminal station at cinemark theatres,SearchScreeningEvent
134,put sungmin into my summer playlist,AddToPlaylist
135,in delanson 1 hour from now reserve a table for four,BookRestaurant
136,congress has warmer weather,GetWeather
137,can you find the movie accidentally in love,SearchCreativeWork
138,play piano ballads on netflix,PlayMusic
139,rate the last opium den 0 points,RateBook
140,give four / 6 points to empire of death,RateBook
141,rate the crossing 3 of 6,RateBook
142,what s the weather in piperton rwanda,GetWeather
143,book a reservation for seven people at a bakery in osage city,BookRestaurant
144,look for the american journal of sociology,SearchCreativeWork
145,tell me what films are around here,SearchScreeningEvent
146,i d like a table for five at any restaurant,BookRestaurant
147,what movie theatre has a matter of wife and death,SearchScreeningEvent
148,looking for the painting last flight to abuja,SearchCreativeWork
149,this winter meredith betty and erika want to food at a gastropub that is in the same area as fran s location,BookRestaurant
150,show me the photograph of minutes to midnight,SearchCreativeWork
151,what will the weather be like in india at 02:55:25 am,GetWeather
152,show me the movie sonic triple trouble,SearchCreativeWork
153,find a painting called break down,SearchCreativeWork
154,find me the tv show ask a woman who knows,SearchCreativeWork
155,play blues on vimeo,PlayMusic
156,i give this last novel only 1 points,RateBook
157,book the nearby meriton grand hotel tallinn in missouri,BookRestaurant
158,i m looking for a novel called the adventures of lolo ii,SearchCreativeWork
159,i d like to watch movies now right nearby,SearchScreeningEvent
160,add a mina caputo album to my after hours party,AddToPlaylist
161,give me the schedule for getting there: sweet 16 and licensed to drive,SearchScreeningEvent
162,play some erin harkes from the fifties on lastfm,PlayMusic
163,add this artist to primavera sound 2016 barcelona,AddToPlaylist
164,i want to eat at a scandinavian restaurant that is highly rated in bonita texas,BookRestaurant
165,find the schedule for the cup winner at the closest movie house,SearchScreeningEvent
166,in google music play the top singles released in 1972,PlayMusic
167,can i get the showtimes for films at dickinson theatres,SearchScreeningEvent
168,the great science fiction stories about mars series deserves a rating of zero,RateBook
169,add this tune by hart wand on this is wagner,AddToPlaylist
170,find half a truth,SearchScreeningEvent
171,rate the current album one points,RateBook
172,this chronicle gets a three out of 6,RateBook
173,what time is one night stand showing at cineplex odeon corporation,SearchScreeningEvent
174,what is the weather like in colorado,GetWeather
175,add connee boswell to the relaxing playlist,AddToPlaylist
176,play a chant from the fifties,PlayMusic
177,play some chant music from 2008,PlayMusic
178,add this album to my adrenaline workout,AddToPlaylist
179,add madchild to electro latino,AddToPlaylist
180,book a spot for one at the wolseley at elevenses,BookRestaurant
181,find i could fall in love,SearchCreativeWork
182,what films are playing at marcus corporation,SearchScreeningEvent
183,find the photograph among the living,SearchCreativeWork
184,add artist to latin pop hits,AddToPlaylist
185,what time is thick as thieves playing at santikos theatres,SearchScreeningEvent
186,rate this series one stars,RateBook
187,find me a creole restaurant,BookRestaurant
188,what movies are playing at the closest movie house,SearchScreeningEvent
189,what is the weather like in midfield iowa today,GetWeather
190,rate the current essay one out of 6,RateBook
191,add that was only yesterday the last ep to my afternoon train ride playlist,AddToPlaylist
192,give five stars to the general saga,RateBook
193,freud: the mind of the moralist should be rated 2 stars with a best rating of 6,RateBook
194,i am rating this book under the series section a three out of 6 stars,RateBook
195,i need to book a pub for 8 that has wifi,BookRestaurant
196,play lukasz gottwald album on zvooq,PlayMusic
197,i d like to hear one of eric clapton s most popular melody on pandora,PlayMusic
198,what is the midnight forecast for argentina,GetWeather
199,is the umbrellas of cherbourg playing near me,SearchScreeningEvent
200,use groove shark to play the today and tomorrow album,PlayMusic
201,find a novel called best hits live: save the children speed live 2003,SearchCreativeWork
202,i d rate the current essay 1 stars,RateBook
203,will it be warmer in ristigouche ecological reserve on nov the twentieth,GetWeather
204,show me the movie schedules for movies playing around here today,SearchScreeningEvent
205,will it be cold in chatmoss albania 8 years and a half from now,GetWeather
206,what do the movie schedules at b&b theatres look like,SearchScreeningEvent
207,play some mark tremonti from the thirties,PlayMusic
208,will it be warm in zambia at 9 pm,GetWeather
209,weather for close-by parc national de kolkheti,GetWeather
210,book a table at skycity in salado for me and hannah,BookRestaurant
211,find projections an album,SearchCreativeWork
212,check the weather forecast for chisholm kentucky,GetWeather
213,i feel that zero out of 6 points would be the rating of queen of the dawn,RateBook
214,how is the weather in mount olivet,GetWeather
215,book a reservation for nine at an outdoor restaurant,BookRestaurant
216,add an abrar ul haq track to my playlist soul lounge,AddToPlaylist
217,please play a song for me from 1959,PlayMusic
218,book a restaurant for 2 at a cafe that i can get a croissant at,BookRestaurant
219,play 1966 theme music on slacker,PlayMusic
220,i want a table for eight in yakima rhode island,BookRestaurant
221,find casting crowns discography,SearchCreativeWork
222,i d like to book a reservation for next spring for nine people at shore club,BookRestaurant
223,get me a johnny cool photograph,SearchCreativeWork
224,what time is the daring dobermans playing,SearchScreeningEvent
225,play jeff pilson on youtube,PlayMusic
226,what is the current selling price of the novel the sims 3: island paradise,SearchCreativeWork
227,can i get the movie schedule for 8 a m,SearchScreeningEvent
228,add ali lohan songs in club hits,AddToPlaylist
229,what is the mississippi for the week,GetWeather
230,play a twenties track by the aj carothers on zvooq,PlayMusic
231,rate steps two out of 6 points,RateBook
232,please search for all the lovers trailer,SearchCreativeWork
233,what films are playing at the closest cinema,SearchScreeningEvent
234,will it be rainy this monday in le center thailand,GetWeather
235,rate equal affections one points,RateBook
236,what time is a ball at the anjo house playing,SearchScreeningEvent
237,add this extended play to women s lit playlist,AddToPlaylist
238,find once upon a time in the west,SearchCreativeWork
239,find a reservation at sunset at a gastropub for 2 people,BookRestaurant
240,find time for all about hash,SearchScreeningEvent
241,show the movie schedules,SearchScreeningEvent
242,movie schedules at amc theaters,SearchScreeningEvent
243,will it be freezing here at 06:31:22 am,GetWeather
244,does wildorado have a hot temperature,GetWeather
245,add this is andrés calamaro by milk,AddToPlaylist
246,rate this essay four out of 6,RateBook
247,add décadas to my list neo da matrix,AddToPlaylist
248,add mc ren to my it s a southern thing playlist,AddToPlaylist
249,can i see the boat people,SearchCreativeWork
250,book a restaurant on martin luther king jr day with parking,BookRestaurant
251,book a reservation for seven people at a steakhouse in kenya,BookRestaurant
252,play tina cousins from 1956,PlayMusic
253,find the novel peace arch news,SearchCreativeWork
254,what is the weather for my current place,GetWeather
255,book a table for nine people next mar,BookRestaurant
256,this series gets 2 out of 6 stars,RateBook
257,include kunnon syy in my trap land playlist,AddToPlaylist
258,play music from 2012 on google music,PlayMusic
259,what is the forecast starting on september 1 2039 for chillier conditions in ak,GetWeather
260,give two points out of 6 to this essay,RateBook
261,can you play something off my kids workout playlist on groove shark,PlayMusic
262,i would rate this album a 3,RateBook
263,rate the current essay 2 out of 6,RateBook
264,rate the current album a 2,RateBook
265,i need to find a restaurant in pw,BookRestaurant
266,play dancing through life by ronald isley on spotify,PlayMusic
267,play some avantgarde music on netflix,PlayMusic
268,will it be sunny in spain on 3/26/2023,GetWeather
269,show me movie schedules,SearchScreeningEvent
270,what is the humidity like in leoti,GetWeather
271,rate the change 0 out of 6 points,RateBook
272,add rattus at the roundhouse to my funk playlist,AddToPlaylist
273,play a song off the best of siouxsie & the banshees by faustino oramas,PlayMusic
274,how much hotter will it be here tomorrow,GetWeather
275,book a table for 9 people for four pm in johnson,BookRestaurant
276,find the black girl in search of god trailer,SearchCreativeWork
277,where can i see the trailer of take me to the king,SearchCreativeWork
278,what time is rites of spring playing at marcus corporation,SearchScreeningEvent
279,what will the weather be in nationalpark rila on nov 25,GetWeather
280,i want to book a spot at a bar in henniker north dakota,BookRestaurant
281,book rosalie stewart and evelyn at a restaurant,BookRestaurant
282,add the name covenant to the playlist fusion fest,AddToPlaylist
283,add banking violence and the inner life today to my retro gaming playlist,AddToPlaylist
284,add to ila s playlist a mi manera recopilatorio the name my heart stood still,AddToPlaylist
285,book a table for 2 guests at a restaurant in lazy mountain ny,BookRestaurant
286,i want to give the pilgrims of rayne three out of 6 stars,RateBook
287,add song to this is philip glass,AddToPlaylist
288,out of 6 i give the following book zero,RateBook
289,rate this series five out of 6,RateBook
290,can you get me seating for 5 people 1 minute from now in tuvalu,BookRestaurant
291,add sonntag to my assassin s creed,AddToPlaylist
292,add already over pt 2 to hip hop 2017 new school,AddToPlaylist
293,will it be snowy in florewood state park,GetWeather
294,book a restaurant in fl in the city of lochearn for my step son and i,BookRestaurant
295,give 0 out of 6 stars to reality of certainty,RateBook
296,rate the current essay 5 of 6,RateBook
297,add nib to fay s brooklyn beat playlist,AddToPlaylist
298,find a reservation at berowra waters inn in australia in 2 years,BookRestaurant
299,will you play my nuestros 80 playlist,PlayMusic
300,rate the current novel one out of 6,RateBook
301,rate this textbook 2 of 6 stars,RateBook
302,rate this book a five,RateBook
303,i want to see everytime we touch which is a painting,SearchCreativeWork
304,book me a restaurant that serves hot chicken in dutch mills north dakota for 10 people for 3 am,BookRestaurant
305,will it still be warm nineteen hours from now in pa,GetWeather
306,rate my current essay zero out of 6,RateBook
307,book a highly rated restaurant with northeastern for 10 in satanta,BookRestaurant
308,the naked and the dead was pretty good i d give it four stars,RateBook
309,add desert sessions to my i love my 80 s rollerdisco playlist,AddToPlaylist
310,search for the un provinciale a new york tv show,SearchCreativeWork
311,find the deathsmiles ii soundtrack,SearchCreativeWork
312,i need a popular moroccan cafeteria,BookRestaurant
313,is the young guard playing at the closest cinema,SearchScreeningEvent
314,find cluster computing a game,SearchCreativeWork
315,find a photograph called between the days,SearchCreativeWork
316,i need a reservation at the one eighty for elsa and wendy in muscle shoals,BookRestaurant
317,please book me a table for three at an american gastropub,BookRestaurant
318,find a movie house with hollow reed,SearchScreeningEvent
319,give zero out of 6 points to marxism and the oppression of women,RateBook
320,what movie schedule are in the area for animated movies,SearchScreeningEvent
321,she me the movie times,SearchScreeningEvent
322,book a spot at a restaurant faraway from 138th st,BookRestaurant
323,i give the previous saga 4 out of 6,RateBook
324,rate how to eat fried worms two stars,RateBook
325,i need a cambodian brasserie restaurant that is top-rated,BookRestaurant
326,book a table for seven people at a restaurant which has internet,BookRestaurant
327,i want to add johnny burke to the country bound playlist,AddToPlaylist
328,rate the tritonian ring zero,RateBook
329,what is the movie schedule at loews cineplex entertainment,SearchScreeningEvent
330,find the photographic journal,SearchCreativeWork
331,is convoy busters playing,SearchScreeningEvent
332,what films and movie schedule are in the area,SearchScreeningEvent
333,can i see the tv show the closer i get,SearchCreativeWork
334,add i hate myself and i want to die to my six string peacefulness,AddToPlaylist
335,find me haunted castle,SearchCreativeWork
336,find the nearest movie theatre with movies,SearchScreeningEvent
337,book a restaurant for 4 of us,BookRestaurant
338,search for the painting smart money,SearchCreativeWork
339,what time will the age of success be showing,SearchScreeningEvent
340,add this track to my gold school playlist,AddToPlaylist
341,can you pull up the american music awards of 1975,SearchCreativeWork
342,which films are playing at malco theatres,SearchScreeningEvent
343,can i know what animated movies are scheduled in the neighbourhood,SearchScreeningEvent
344,where can i watch the tv show terrorists: the kids they sentenced,SearchCreativeWork
345,where can i find the tv show of the school teacher in the house,SearchCreativeWork
346,are there any animated movies playing in the neighborhood,SearchScreeningEvent
347,add the spirit of life to nação reggae,AddToPlaylist
348,add tarkan to my madrugando playlist,AddToPlaylist
349,add totally stress free by bobby lord to my playlist,AddToPlaylist
